Term,Definition
"What is the protein shell of a virus called?","Capsid"
"What are the protein subunits that make up a viral capsid?","Capsomeres"
"What term describes a virus that requires a host cell to replicate?","Obligate Parasite"
"What is the genetic material of a virus made of?","DNA or RNA"
"What is the term for the complete virus particle, including its nucleic acid and protein coat?","Nucleocapsid"
"What is the process called when a virus uses host cell machinery to replicate?","Using Host Machinery"
"What are viruses that infect bacteria called?","Bacteriophages"
"What is the primary method for determining the concentration of viruses in a sample?","Plaque Assay"
"What is the efficiency of forming plaques in a plaque assay known as?","Plating Efficiency"
"What is the proteinaceous structure that surrounds the viral genome called?","Capsid"
"What are the smaller monomeric subunits that make up the capsid?","Capsomeres"
"What determines the shape of the capsid?","Capsomeres"
"What is the nucleocapsid composed of?","Virus genome surrounded by capsid"
"What surrounds the capsid in enveloped viruses?","Lipid bilayer envelope"
"From where is the envelope of enveloped viruses derived?","Host cell membranes"
"What type of genetic material do viruses contain?","DNA or RNA, not both"
"What is an obligate intracellular parasite?","An organism that can only replicate inside a host cell"
"How do viruses replicate their genome?","By redirecting host cell machinery to produce viral components"
"What happens to progeny virions after assembly in the host cell?","They are assembled de novo and facilitate transmission"
"What do viruses require from host cells to synthesize progeny virions?","Energy (ATP) and cellular gene products and organic molecules"
"Which organic molecules do viruses utilize from host cells?","Nucleotides, amino acids, carbohydrates, and lipids"
"What cellular machinery do many viruses rely on for replication?","Host DNA, RNA, and protein synthesis machinery"
"Why do viruses need host cells for enzyme production?","Viruses lack the coding capacity for enzymes available in host cells"
"Where are trace elements essential for viral replication concentrated?","In subcellular compartments within the host cell"
"What are some diseases caused by viruses in humans?","Smallpox, hepatitis, HIV, SARS, influenza, West Nile"
"What virus contributed to the African famine of 1920?","Cassava mosaic virus"
"What percentage of atmospheric oxygen is produced by photosynthetic algae?","40%"
"What percentage of algal death is due to virus infection?","20%"
"What disease devastates livestock herds in England?","Foot-and-mouth disease"
"Which viruses impact domesticated pets?","Distemper and feline leukemia virus"
"What scientific advancement was prompted by the first bacteriophages?","Development of living antibiotics"
"What discovery was made through the analysis of eukaryotic DNA viruses?","Discovery of eukaryotic RNA polymerase"
"What was characterized through the replication of DNA viruses?","Eukaryotic DNA polymerase"
"What viral component was used to characterize mRNA splicing?","Viral introns"
"What did the isolation of oncogenes from viruses help scientists understand?","Control of the cell cycle"
"What does the term 'virus' mean in Latin?","Poison"
"What development allowed the distinction between diseases caused by cellular microorganisms and true viruses?","Landmark developments and discoveries by pioneering microbiologists"
"Who conducted the first successful vaccination in 1796?","Edward Jenner"
"What disease did Edward Jenner use to protect against smallpox?","Cowpox"
