Term,Definition
"What is the focus of Lecture 23?","Secretion systems in bacteria."
"Why is bacterial secretion important?","It involves getting substances across the plasma membrane."
"What are the key pathways in the general secretion pathway?","Sec system, SRP, and TAT pathway."
"What is Type 1 secretion system?","It transports substances across both the inner and outer membrane."
"What is the role of Type 2 secretion system?","It is involved in pili assembly and the main terminal branch."
"What is unique about Type 3 secretion system?","It transports substances across both the inner and outer membrane."
"What is the function of Type 4 secretion system?","It is a dedicated transport system."
"What are Type 5 secretion systems known as?","Autotransporters."
"What is Type 6 secretion system referred to as?",""The new kid on the block.""
"Which bacteria use systems to deliver proteins to the outer membrane and beyond?","Gram-negative bacteria."
"How do Gram-positive bacteria handle secreted proteins?","They tether secreted proteins to their outer surface."
"What is the function of Type VII secretion systems in Gram-positive bacteria?","To deliver proteins into host cells and across the waxy wall of Mycobacteria."
"Where do many proteins fold in bacterial cells?","In the periplasm."
"Where are disulfide bonds formed in bacterial cells?","In the periplasm."
"What energy sources are not present at the outer membrane of bacterial cells?","ATP and proton motive force."
"What is the theoretical diameter of pores in the peptidoglycan layer?","2 nm."
"What size of globular proteins can theoretically pass through a 2 nm pore in the peptidoglycan layer?","Globular proteins of about 50-100 kD."
"What is the Sec pathway used for in bacterial secretion systems?","The Sec pathway is used for export across the inner membrane."
"Which secretion system types use the Sec pathway for inner membrane export but have a distinct mechanism for outer membrane translocation?","Type II and V secretion systems."
"Which secretion system types move substrate proteins across both membranes in a single step?","Type I, III, IV, and VI secretion systems."
"What is considered a bigger challenge in bacterial secretion systems?","Secretion across the outer membrane."
"What is Type I secretion system?","It moves substrate proteins across both membranes in a single step and is Sec-independent."
"Where is the signal sequence located in Type I secretion system?","In the C terminus."
"What type of proteins does the Type I secretion system transport?","Slow folding proteins."
"What is the energy source for the Type I secretion system?","ATP."
"What is the function of transport systems in bacteria?","Transport systems in bacteria are responsible for the uptake of nutrients and expulsion of waste products."
"What are the main types of transport systems in bacteria?","The main types of transport systems in bacteria include passive transport, active transport, and group translocation."
"What is passive transport in bacteria?","Passive transport involves the movement of substances across the bacterial cell membrane without the use of energy, typically down a concentration gradient."
"What is active transport in bacteria?","Active transport is the movement of substances across the bacterial cell membrane using energy, often against a concentration gradient."
"What is group translocation in bacteria?","Group translocation is a transport process in bacteria where a substance is chemically modified during its passage across the cell membrane."
"What is the novel strategy for secretion mentioned in the slide?","Crossing both membranes at once."
"What type of protein exporters are involved in this novel secretion strategy?","ATP-binding cassette (ABC) protein exporters, also known as the type I secretion pathway."
"What is the maximum size of proteins that can be secreted by the type I secretion pathway?","Up to 800 KDa."
"Is the type I secretion pathway dependent on the Sec pathway?","No, it is independent of Sec."
"Does the type I secretion pathway involve periplasmic intermediates?","No, it does not involve periplasmic intermediates."
"What are some examples of substrates secreted by the type I secretion pathway?","Substrates include toxins, proteases, lipases, and antibiotics."
