Term,Definition
"What is the purpose of signal transduction pathways in cells?","They allow cells to respond to an ever-changing environment."
"What role do chemical signals play in physiological responses?","They are crucial for coordinating physiological responses."
"How do signal transduction pathways function similarly to computer chips?","They have components with ON/OFF switches."
"What is required for a hormone to trigger a robust physiological response?","The hormone must exceed a threshold concentration."
"What is signal transduction?","The process where a hormone exceeding a threshold concentration triggers a chain of events converting a message to a physiological response."
"What type of hormone is epinephrine?","Amino acid derivative"
"What is the primary function of epinephrine during a threat?","Stimulates mobilization of energy stores and improves cardiac and respiratory function"
"What type of hormone is insulin?","Peptide or polypeptide"
"What is the role of insulin after eating?","Ensures glucose is taken up from the bloodstream and stored as glycogen"
"What type of hormone is glucagon?","Peptide or polypeptide"
"What type of hormone is the epidermal growth factor (EGF)?","Steroid"
"What is the function of the epidermal growth factor (EGF)?","Stimulates specific cells to grow and divide after a wound"
"What type of hormones are glucocorticoids and sex hormones?","Steroids"
